States,Jan & July Public Assist. Participation,Jan & July Non-Public Assist. Participation,Jan & July TOTAL Assist. Participation,CountyState
IL,29,2033,2062,Lenawee County Illinois
IL,69,2550,2619,Livingston County Illinois
KY,98,4678,4776,Luce County Kentucky
NJ,15172,13586,28758,Mackinac County New Jersey
IL,74,4566,4640,Macomb County Illinois
KY,103,6694,6797,Manistee County Kentucky
NJ,15177,15602,30779,Marquette County New Jersey
IL,14394,11800,26194,Mason County Illinois
KY,14423,13928,28351,Mecosta County Kentucky
NJ,29497,22836,52333,Menominee County New Jersey
IL,71,1504,1575,Midland County Illinois
KY,77,3600,3677,Missaukee County Kentucky
TN,989,10618,11607,Monroe County Tennessee
IL,95,3405,3500,Montcalm County Illinois
KY,101,5501,5602,Montmorency County Kentucky
TN,1013,12519,13532,Muskegon County Tennessee
IL,1001,10306,11307,Newaygo County Illinois
KY,1007,12402,13409,Oakland County Kentucky
TN,1919,19420,21339,Oceana County Tennessee
IL,46,2279,2325,Ogemaw County Illinois
IL,134,12864,12998,Ontonagon County Illinois
IL,4389,56181,60570,Osceola County Illinois
IL,156,6376,6532,Oscoda County Illinois
KY,467,12696,13163,Otsego County Kentucky
TN,241,4721,4962,Ottawa County Tennessee
IL,445,12825,13270,Presque Isle County Illinois
KY,756,19145,19901,Roscommon County Kentucky
TN,530,11170,11700,Saginaw County Tennessee
IL,215,4941,5156,St. Clair County Illinois
KY,526,11261,11787,St. Joseph County Kentucky
TN,300,3286,3586,Sanilac County Tennessee
IL,36,1583,1619,Schoolcraft County Illinois
IL,53,1698,1751,Shiawassee County Illinois
IL,34,760,794,Tuscola County Illinois
TN,1773,12981,14754,Van Buren County Tennessee
IL,1786,12283,14069,Washtenaw County Illinois
TN,3525,24504,28029,Wayne County Tennessee
IL,352,7590,7942,Wexford County Illinois
NC,4212,21960,26172,Aitkin County North Carolina
IL,1896,23373,25269,Anoka County Illinois
NC,5756,37743,43499,Becker County North Carolina
IL,178,4612,4790,Beltrami County Illinois
SC,5839,56535,62374,Benton County South Carolina
IL,5295,53179,58474,Big Stone County Illinois
SC,10956,105102,116058,Blue Earth County South Carolina
IL,2671,35662,38333,Brown County Illinois
IL,8743,83558,92301,Carlton County Illinois
IL,306,10807,11113,Carver County Illinois
KS,1958,9801,11759,Cass County Kansas
IL,1741,9909,11650,Chippewa County Illinois
KS,3393,8903,12296,Chisago County Kansas
IL,3384,51661,55045,Clay County Illinois
IL,57,1499,1556,Clearwater County Illinois
IL,4,798,802,Cook County Illinois
KS,78,613,691,Cottonwood County Kansas
KY,132,6683,6815,Crow Wing County Kentucky
TN,1125,7166,8291,Dakota County Tennessee
IL,94,611,705,Dodge County Illinois
KS,168,426,594,Douglas County Kansas
KY,222,6496,6718,Faribault County Kentucky
TN,1215,6979,8194,Fillmore County Tennessee
IL,147,6409,6556,Freeborn County Illinois
KS,221,6224,6445,Goodhue County Kansas
KY,275,12294,12569,Grant County Kentucky
TN,1268,12777,14045,Hennepin County Tennessee
IL,1138,7039,8177,Houston County Illinois
KS,1212,6854,8066,Hubbard County Kansas
KY,1266,12924,14190,Isanti County Kentucky
TN,2259,13407,15666,Itasca County Tennessee
IL,142,3925,4067,Jackson County Illinois
KY,261,6770,7031,Kanabec County Kentucky
IL,228,6592,6820,Kandiyohi County Illinois
KY,347,9437,9784,Kittson County Kentucky
IL,29,931,960,Koochiching County Illinois
IL,958,13151,14109,Lac qui Parle County Illinois
IL,868,24463,25331,Lake County Illinois
IL,374,6516,6890,Lake of the Woods County Illinois
KY,246,5781,6027,Le Sueur County Kentucky
NJ,15075,23792,38867,Lincoln County New Jersey
NC,3958,19695,23653,Lyon County North Carolina
TN,701,7871,8572,McLeod County Tennessee
IL,309,5825,6134,Mahnomen County Illinois
KY,181,5090,5271,Marshall County Kentucky
NJ,15010,23101,38111,Martin County New Jersey
NC,3893,19004,22897,Meeker County North Carolina
TN,636,7180,7816,Mille Lacs County Tennessee
IL,14473,20424,34897,Morrison County Illinois
KY,14345,19689,34034,Mower County Kentucky
NJ,29174,37700,66874,Murray County New Jersey
NC,18057,33603,51660,Nicollet County North Carolina
TN,14800,21779,36579,Nobles County Tennessee
IL,1451,20611,22062,Norman County Illinois
KY,1323,19876,21199,Olmsted County Kentucky
NJ,16152,37887,54039,Otter Tail County New Jersey
NC,5035,33790,38825,Pennington County North Carolina
TN,1778,21966,23744,Pine County Tennessee
IL,674,7949,8623,Pipestone County Illinois
KY,546,7214,7760,Polk County Kentucky
NJ,15375,25225,40600,Pope County New Jersey
NC,4258,21128,25386,Ramsey County North Carolina
TN,1001,9304,10305,Red Lake County Tennessee
IL,2796,31139,33935,Redwood County Illinois
IL,84,3037,3121,Renville County Illinois
IL,240,4274,4514,Rice County Illinois
KY,575,18702,19277,Rock County Kentucky
NJ,2432,5679,8111,Roseau County New Jersey
TN,1025,10681,11706,St. Louis County Tennessee
IL,647,17677,18324,Scott County Illinois
KY,982,32105,33087,Sherburne County Kentucky
NJ,2839,19082,21921,Sibley County New Jersey
TN,1432,24084,25516,Stearns County Tennessee
IL,2339,5316,7655,Steele County Illinois
KY,2674,19744,22418,Stevens County Kentucky
NJ,4531,6721,11252,Swift County New Jersey
TN,3124,11723,14847,Todd County Tennessee
IL,1078,10705,11783,Traverse County Illinois
KY,1413,25133,26546,Wabasha County Kentucky
NJ,3270,12110,15380,Wadena County New Jersey
TN,1863,17112,18975,Waseca County Tennessee
IL,78,4147,4225,Washington County Illinois
TN,532,7324,7856,Watonwan County Tennessee
IL,569,7208,7777,Wilkin County Illinois
TN,1023,10385,11408,Winona County Tennessee
IL,339,12355,12694,Wright County Illinois
IL,4467,97001,101468,Yellow Medicine County Illinois
IL,819,21487,22306,Adams County Illinois
TN,1064,17306,18370,Alcorn County Tennessee
IL,1084,17501,18585,Amite County Illinois
TN,1329,13320,14649,Attala County Tennessee
IL,5402,97985,103387,Benton County Illinois
IL,49,3348,3397,Bolivar County Illinois
KY,85,4174,4259,Calhoun County Kentucky
IL,72,3986,4058,Carroll County Illinois
KY,108,4812,4920,Chickasaw County Kentucky
IN,1131,4806,5937,Choctaw County Indiana
IN,23169,72064,95233,Claiborne County Indiana
IN,3115,12846,15961,Clarke County Indiana
IN,440,1981,2421,Clay County Indiana
IN,1059,2917,3976,Coahoma County Indiana
IN,1340,5752,7092,Copiah County Indiana
IN,598,2576,3174,Covington County Indiana
IN,383,2596,2979,DeSoto County Indiana
MS,216,2596,2812,Forrest County Mississippi
IN,223,2668,2891,Franklin County Indiana
MS,56,2668,2724,George County Mississippi
IN,1846,8088,9934,Greene County Indiana
IN,5739,17273,23012,Grenada County Indiana
OH,7445,28964,36409,Hancock County Ohio
IN,7178,29673,36851,Harrison County Indiana
OH,8884,41364,50248,Hinds County Ohio
IN,1715,5297,7012,Holmes County Indiana
MN,2477,6524,9001,Humphreys County Minnesota
MN,884,2612,3496,Issaquena County Minnesota
MS,1186,7990,9176,Itawamba County Mississippi
IN,2382,6223,8605,Jackson County Indiana
MN,3144,7450,10594,Jasper County Minnesota
MN,1551,3538,5089,Jefferson County Minnesota
MS,1853,8916,10769,Jefferson Davis County Mississippi
IN,1098,8066,9164,Jones County Indiana
MN,1860,9293,11153,Kemper County Minnesota
MN,267,5381,5648,Lafayette County Minnesota
MS,569,10759,11328,Lamar County Mississippi
IN,1694,6752,8446,Lauderdale County Indiana
IN,737,2432,3169,Lawrence County Indiana
IN,1520,4746,6266,Leake County Indiana
IN,1646,7047,8693,Lee County Indiana
IN,1662,4998,6660,Leflore County Indiana
IN,1430,8226,9656,Lincoln County Indiana
IN,9288,24546,33834,Lowndes County Indiana
IN,987,3919,4906,Madison County Indiana
IN,12964,46243,59207,Marion County Indiana
IN,3534,7133,10667,Marshall County Indiana
IN,5728,11794,17522,Monroe County Indiana
VA,3240,7444,10684,Montgomery County Virginia
IN,3004,7672,10676,Neshoba County Indiana
VA,516,3322,3838,Newton County Virginia
IN,902,2806,3708,Noxubee County Indiana
IN,1232,3653,4885,Oktibbeha County Indiana
MS,652,3192,3844,Panola County Mississippi
OH,35537,152186,187723,Pearl River County Ohio
IN,660,3237,3897,Perry County Indiana
MS,80,2776,2856,Pike County Mississippi
OH,34965,151770,186735,Pontotoc County Ohio
IN,36194,142817,179011,Prentiss County Indiana
MS,35614,142356,177970,Quitman County Mississippi
OH,70499,291350,361849,Rankin County Ohio
IN,1393,4416,5809,Scott County Indiana
IN,1130,5174,6304,Sharkey County Indiana
IN,5748,16938,22686,Simpson County Indiana
IN,1717,6382,8099,Smith County Indiana
MS,921,5089,6010,Stone County Mississippi
IN,875,5364,6239,Sunflower County Indiana
MS,79,4071,4150,Tallahatchie County Mississippi
IN,2619,13183,15802,Tate County Indiana
IN,1950,8044,9994,Tippah County Indiana
MS,1090,10895,11985,Tishomingo County Mississippi
IN,1115,10941,12056,Tunica County Indiana
MS,255,13792,14047,Union County Mississippi
IN,1670,6273,7943,Walthall County Indiana
MS,2365,34642,37007,Warren County Mississippi
IN,2180,32156,34336,Washington County Indiana
MS,2875,60525,63400,Wayne County Mississippi
IN,1686,10539,12225,Webster County Indiana
IN,4609,10463,15072,Wilkinson County Indiana
IN,6314,18639,24953,Winston County Indiana
IN,1391,6824,8215,Yalobusha County Indiana
IN,2073,7718,9791,Yazoo County Indiana
MN,1184,4214,5398,Adair County Minnesota
MS,1918,21700,23618,Andrew County Mississippi
IN,1218,4423,5641,Atchison County Indiana
MN,329,919,1248,Audrain County Minnesota
MS,1063,18405,19468,Barry County Mississippi
IN,2028,21616,23644,Barton County Indiana
MN,1139,18112,19251,Bates County Minnesota
MS,1873,35598,37471,Benton County Mississippi
IN,1368,5108,6476,Bollinger County Indiana
MS,793,5966,6759,Boone County Mississippi
IN,702,6084,6786,Buchanan County Indiana
MS,127,6942,7069,Butler County Mississippi
IN,1102,4246,5348,Caldwell County Indiana
IN,1857,6375,8232,Callaway County Indiana
MS,1127,5138,6265,Camden County Mississippi
IN,1008,5159,6167,Cape Girardeau County Indiana
MS,278,3922,4200,Carroll County Mississippi
IN,1699,6887,8586,Carter County Indiana
IN,4313,18361,22674,Cass County Indiana
IN,3260,7031,10291,Cedar County Indiana
IN,1899,11547,13446,Chariton County Indiana
IN,576,3459,4035,Christian County Indiana
IN,56416,119811,176227,Clark County Indiana
IN,9700,25971,35671,Clay County Indiana
IN,2239,8951,11190,Clinton County Indiana
MS,1206,6566,7772,Cole County Mississippi
IN,1264,6769,8033,Cooper County Indiana
MS,231,4384,4615,Crawford County Mississippi
IN,9362,27784,37146,Dade County Indiana
MS,5363,23377,28740,Dallas County Mississippi
IN,5519,23929,29448,Daviess County Indiana
MS,1520,19522,21042,DeKalb County Mississippi
IN,111080,223178,334258,Dent County Indiana
MS,55134,113590,168724,Douglas County Mississippi
IN,56512,120565,177077,Dunklin County Indiana
MS,566,10977,11543,Franklin County Mississippi
IN,1777,8073,9850,Gasconade County Indiana
MN,1047,4382,5429,Gentry County Minnesota
MS,1217,10782,11999,Greene County Mississippi
IN,977,4464,5441,Grundy County Indiana
MN,247,773,1020,Harrison County Minnesota
MS,417,7173,7590,Henry County Mississippi
IN,1160,10639,11799,Hickory County Indiana
MN,430,6948,7378,Holt County Minnesota
MS,600,13348,13948,Howard County Mississippi
IN,476,1607,2083,Howell County Indiana
IN,2055,8016,10071,Iron County Indiana
IN,4238,14282,18520,Jackson County Indiana
IN,2149,6346,8495,Jasper County Indiana
IN,4608,12216,16824,Jefferson County Indiana
IN,724,2526,3250,Johnson County Indiana
MS,491,4972,5463,Knox County Mississippi
IN,476,4786,5262,Laclede County Indiana
MS,243,7232,7475,Lafayette County Mississippi
IN,1397,8253,9650,Lawrence County Indiana
IN,183,808,991,Lewis County Indiana
IN,1509,4607,6116,Lincoln County Indiana
VA,1107,4919,6026,Linn County Virginia
IN,1109,4959,6068,Livingston County Indiana
VA,707,5271,5978,McDonald County Virginia
IN,1296,4613,5909,Macon County Indiana
IN,998,2823,3821,Madison County Indiana
IN,807,2852,3659,Maries County Indiana
IN,707,1807,2514,Marion County Indiana
MS,862,10532,11394,Mercer County Mississippi
IN,813,10466,11279,Miller County Indiana
MS,968,19191,20159,Mississippi County Mississippi
IN,5543,20406,25949,Moniteau County Indiana
IN,1259,2850,4109,Monroe County Indiana
IN,959,2648,3607,Montgomery County Indiana
IN,1314,5724,7038,Morgan County Indiana
IN,1689,5760,7449,New Madrid County Indiana
IN,999,4393,5392,Newton County Indiana
IN,1176,3128,4304,Nodaway County Indiana
IN,21526,55278,76804,Oregon County Indiana
IN,2635,6917,9552,Osage County Indiana
MS,1549,8742,10291,Ozark County Mississippi
IN,1409,8726,10135,Pemiscot County Indiana
MS,323,10551,10874,Perry County Mississippi
IN,2053,8672,10725,Pettis County Indiana
IN,890,2548,3438,Phelps County Indiana
IN,2433,6901,9334,Pike County Indiana
IN,1203,6164,7367,Platte County Indiana
IN,1327,3870,5197,Polk County Indiana
IN,451,2039,2490,Pulaski County Indiana
IN,7057,24365,31422,Putnam County Indiana
IN,492,2268,2760,Ralls County Indiana
IN,687,1564,2251,Randolph County Indiana
MS,415,3986,4401,Ray County Mississippi
IN,382,4101,4483,Reynolds County Indiana
MS,110,6523,6633,Ripley County Mississippi
IN,12594,35639,48233,St. Charles County Indiana
IN,870,2908,3778,St. Clair County Indiana
IN,9125,23002,32127,Ste. Genevieve County Indiana
IN,1266,5707,6973,St. Francois County Indiana
IN,269,1049,1318,St. Louis County Indiana
MS,651,10493,11144,Saline County Mississippi
VA,631,4530,5161,Schuyler County Virginia
IN,657,10198,10855,Scotland County Indiana
MS,1039,19642,20681,Scott County Mississippi
VA,1019,13679,14698,Shannon County Virginia
IN,641,4356,4997,Shelby County Indiana
MS,1023,13800,14823,Stoddard County Mississippi
VA,1003,7837,8840,Stone County Virginia
IN,1199,6349,7548,Sullivan County Indiana
IN,1593,6568,8161,Taney County Indiana
MN,3558,8949,12507,Texas County Minnesota
MN,829,3218,4047,Vernon County Minnesota
MS,3294,21408,24702,Warren County Mississippi
IN,3343,8611,11954,Washington County Indiana
MN,5308,10992,16300,Wayne County Minnesota
MN,2579,5261,7840,Webster County Minnesota
MS,5044,23451,28495,Worth County Mississippi
IN,3355,21030,24385,Wright County Indiana
MN,5320,23411,28731,St. Louis city Minnesota
MN,2591,17680,20271,Beaverhead County Minnesota
MS,5056,35870,40926,Big Horn County Mississippi
IN,6149,15015,21164,Blaine County Indiana
MS,3301,11895,15196,Broadwater County Mississippi
IN,3299,12385,15684,Carbon County Indiana
MS,451,9265,9716,Carter County Mississippi
IN,796,3624,4420,Cascade County Indiana
IN,761,4524,5285,Chouteau County Indiana
IN,806,4462,5268,Custer County Indiana
IA,180,1157,1337,Daniels County Iowa
IA,142,718,860,Dawson County Iowa
OH,1356,5847,7203,Deer Lodge County Ohio
IA,1343,5833,7176,Fallon County Iowa
OH,2557,10962,13519,Fergus County Ohio
IA,500,2434,2934,Flathead County Iowa
IA,1059,3401,4460,Gallatin County Iowa
IA,120,735,855,Garfield County Iowa
IA,733,3606,4339,Glacier County Iowa
IA,8960,25062,34022,Golden Valley County Iowa
IA,980,4104,5084,Granite County Iowa
IA,383,1938,2321,Hill County Iowa
IA,606,2699,3305,Jefferson County Iowa
IA,973,3582,4555,Judith Basin County Iowa
IA,391,2102,2493,Lake County Iowa
OH,6384,38585,44969,Lewis and Clark County Ohio
IA,6184,35881,42065,Liberty County Iowa
OH,12177,72364,84541,Lincoln County Ohio
IA,229,1467,1696,McCone County Iowa
IA,579,2385,2964,Madison County Iowa
OH,770,4681,5451,Meagher County Ohio
IA,719,4549,5268,Mineral County Iowa
OH,910,6845,7755,Missoula County Ohio
IA,576,2857,3433,Musselshell County Iowa
IA,426,2139,2565,Park County Iowa
IA,1810,9629,11439,Petroleum County Iowa
IA,278,1511,1789,Phillips County Iowa
IA,246,1396,1642,Pondera County Iowa
IA,398,2395,2793,Powder River County Iowa
IA,799,2685,3484,Powell County Iowa
IA,466,1980,2446,Prairie County Iowa
IA,3587,11816,15403,Ravalli County Iowa
OH,2755,10875,13630,Richland County Ohio
IA,2664,11032,13696,Roosevelt County Iowa
OH,1832,10091,11923,Rosebud County Ohio
IA,661,2950,3611,Sanders County Iowa
OH,1638,7677,9315,Sheridan County Ohio
IA,1631,7534,9165,Silver Bow County Iowa
OH,2608,12261,14869,Stillwater County Ohio
IA,1228,6285,7513,Sweet Grass County Iowa
IA,384,1060,1444,Teton County Iowa
IA,532,2442,2974,Toole County Iowa
IA,730,2294,3024,Treasure County Iowa
IA,2902,11910,14812,Valley County Iowa
IA,439,1677,2116,Wheatland County Iowa
IA,4613,14479,19092,Wibaux County Iowa
IA,364,1623,1987,Yellowstone County Iowa
IA,1081,3908,4989,Adams County Iowa
OH,1475,5990,7465,Antelope County Ohio
IA,1359,5649,7008,Arthur County Iowa
OH,1753,7731,9484,Banner County Ohio
IA,587,3019,3606,Blaine County Iowa
IA,249,1710,1959,Boone County Iowa
IA,337,1412,1749,Box Butte County Iowa
IA,382,1700,2082,Boyd County Iowa
OH,2430,10937,13367,Brown County Ohio
IA,2396,10705,13101,Buffalo County Iowa
OH,4444,19942,24386,Burt County Ohio
IA,162,867,1029,Butler County Iowa
IA,267,1426,1693,Cass County Iowa
IA,514,2562,3076,Cedar County Iowa
IA,186,1574,1760,Chase County Iowa
OH,1122,6917,8039,Cherry County Ohio
IA,1039,6775,7814,Cheyenne County Iowa
OH,1975,12118,14093,Clay County Ohio
IA,586,2976,3562,Colfax County Iowa
OH,738,4411,5149,Cuming County Ohio
IA,793,4325,5118,Custer County Iowa
OH,945,5760,6705,Dakota County Ohio
IA,583,2430,3013,Dawes County Iowa
OH,932,3340,4272,Dawson County Ohio
IA,849,3300,4149,Deuel County Iowa
OH,1198,4210,5408,Dixon County Ohio
IA,1045,4424,5469,Dodge County Iowa
OH,784,4496,5280,Douglas County Ohio
IA,798,4635,5433,Dundy County Iowa
OH,537,4707,5244,Fillmore County Ohio
IA,321,1424,1745,Franklin County Iowa
IA,619,1150,1769,Frontier County Iowa
IA,117,1082,1199,Furnas County Iowa
IA,342,1743,2085,Gage County Iowa
IA,980,3354,4334,Garden County Iowa
OH,2123,7247,9370,Garfield County Ohio
IA,2128,7079,9207,Gosper County Iowa
OH,3271,10972,14243,Grant County Ohio
IA,1751,6552,8303,Greeley County Iowa
IA,914,3592,4506,Hall County Iowa
OH,3344,10540,13884,Hamilton County Ohio
IA,3258,10344,13602,Harlan County Iowa
OH,5688,17292,22980,Hayes County Ohio
IA,4230,14653,18883,Hitchcock County Iowa
IA,581,2786,3367,Holt County Iowa
IA,473,2041,2514,Hooker County Iowa
IA,462,1774,2236,Howard County Iowa
IA,2595,8816,11411,Jefferson County Iowa
IA,8438,37268,45706,Johnson County Iowa
IA,358,2148,2506,Kearney County Iowa
IA,467,2359,2826,Keith County Iowa
OH,22782,63249,86031,Keya Paha County Ohio
IA,22580,61029,83609,Kimball County Iowa
OH,44895,121919,166814,Knox County Ohio
IA,164,1086,1250,Lancaster County Iowa
IA,286,2138,2424,Lincoln County Iowa
OH,957,5045,6002,Logan County Ohio
IA,895,4935,5830,Loup County Iowa
OH,1566,7842,9408,McPherson County Ohio
IA,1758,4777,6535,Madison County Iowa
IA,1059,4461,5520,Merrick County Iowa
IA,1797,10306,12103,Morrill County Iowa
IA,358,2379,2737,Nance County Iowa
IA,116,947,1063,Nemaha County Iowa
IA,266,1659,1925,Nuckolls County Iowa
IA,409,1448,1857,Otoe County Iowa
OH,718,2366,3084,Pawnee County Ohio
WI,617,5348,5965,Perkins County Wisconsin
IA,656,2437,3093,Phelps County Iowa
OH,965,3355,4320,Pierce County Ohio
WI,864,6337,7201,Platte County Wisconsin
IA,526,5668,6194,Polk County Iowa
OH,835,6586,7421,Red Willow County Ohio
WI,734,9568,10302,Richardson County Wisconsin
IA,618,2907,3525,Rock County Iowa
OH,18072,65752,83824,Saline County Ohio
IA,17907,62220,80127,Sarpy County Iowa
OH,35361,125065,160426,Saunders County Ohio
IA,2353,10304,12657,Scotts Bluff County Iowa
IA,419,1835,2254,Seward County Iowa
IA,122,519,641,Sheridan County Iowa
IA,711,3523,4234,Sherman County Iowa
IA,290,1082,1372,Sioux County Iowa
IA,357,2278,2635,Stanton County Iowa
IA,335,1309,1644,Thayer County Iowa
IA,22485,87881,110366,Thomas County Iowa
IA,6025,21770,27795,Thurston County Iowa
IA,918,2291,3209,Valley County Iowa
IA,225,843,1068,Washington County Iowa
IA,251,1128,1379,Wayne County Iowa
IA,12060,41182,53242,Webster County Iowa
IA,329,1727,2056,Wheeler County Iowa
OH,827,5205,6032,York County Ohio
IA,765,5166,5931,Churchill County Iowa
OH,1263,8644,9907,Clark County Ohio
IA,463,1941,2404,Douglas County Iowa
IA,2240,9590,11830,Elko County Iowa
IA,540,2700,3240,Esmeralda County Iowa
IA,209,1036,1245,Eureka County Iowa
IA,679,3054,3733,Humboldt County Iowa
OH,939,4685,5624,Lander County Ohio
IA,934,4457,5391,Lincoln County Iowa
OH,1194,6088,7282,Lyon County Ohio
IA,319,1356,1675,Mineral County Iowa
IA,3037,10779,13816,Nye County Iowa
IA,943,5669,6612,Pershing County Iowa
IA,881,3284,4165,Storey County Iowa
OH,1965,7413,9378,Washoe County Ohio
IA,1997,7475,9472,White Pine County Iowa
OH,3081,11604,14685,Carson City Ohio
IA,326,1228,1554,Belknap County Iowa
OH,2475,10545,13020,Carroll County Ohio
IA,2366,9922,12288,Cheshire County Iowa
OH,4515,19239,23754,Coos County Ohio
IA,2107,8675,10782,Grafton County Iowa
IA,272,1728,2000,Hillsborough County Iowa
IA,506,1933,2439,Merrimack County Iowa
IA,4750,26734,31484,Rockingham County Iowa
IA,185,934,1119,Strafford County Iowa
IA,514,2328,2842,Sullivan County Iowa
KS,1431,2330,3761,Atlantic County Kansas
KY,716,4866,5582,Bergen County Kentucky
KS,761,4710,5471,Burlington County Kansas
KY,46,7246,7292,Camden County Kentucky
KS,551,1197,1748,Cape May County Kansas
KY,283,3518,3801,Cumberland County Kentucky
SC,2308,31293,33601,Essex County South Carolina
TN,1970,13707,15677,Gloucester County Tennessee
KS,307,3269,3576,Hudson County Kansas
KY,39,5590,5629,Hunterdon County Kentucky
SC,2064,33365,35429,Mercer County South Carolina
TN,1726,15779,17505,Middlesex County Tennessee
KS,2379,30154,32533,Monmouth County Kansas
KY,2111,32475,34586,Morris County Kentucky
SC,4136,60250,64386,Ocean County South Carolina
TN,3798,42664,46462,Passaic County Tennessee
KS,1911,13123,15034,Salem County Kansas
KY,1643,15444,17087,Somerset County Kentucky
SC,3668,43219,46887,Sussex County South Carolina
TN,3330,25633,28963,Union County Tennessee
KS,1498,3323,4821,Warren County Kansas
KS,182,417,599,Bernalillo County Kansas
KS,1520,4602,6122,Catron County Kansas
KS,1802,3289,5091,Chaves County Kansas
KY,1007,5008,6015,Cibola County Kentucky
KS,1053,4888,5941,Colfax County Kansas
KY,258,6607,6865,Curry County Kentucky
KS,2236,7707,9943,De Baca County Kansas
KY,1138,6357,7495,Dona Ana County Kentucky
KS,1243,6811,8054,Eddy County Kansas
KY,145,5461,5606,Grant County Kentucky
KS,89,324,413,Guadalupe County Kansas
KS,251,552,803,Harding County Kansas
KS,65,175,240,Hidalgo County Kansas
KS,523,1096,1619,Lea County Kansas
KS,423,1101,1524,Lincoln County Kansas
KS,25,138,163,Los Alamos County Kansas
KS,2515,6995,9510,Luna County Kansas
KS,98,236,334,McKinley County Kansas
TN,355,2481,2836,Mora County Tennessee
KS,384,2535,2919,Otero County Kansas
TN,641,4780,5421,Quay County Tennessee
KS,657,1818,2475,Rio Arriba County Kansas
KS,279,978,1257,Roosevelt County Kansas
KS,127,502,629,Sandoval County Kansas
KS,951,2633,3584,San Juan County Kansas
KS,131,462,593,San Miguel County Kansas
KS,2110,6700,8810,Santa Fe County Kansas
KS,1606,4253,5859,Sierra County Kansas
KS,33,143,176,Socorro County Kansas
KS,288,929,1217,Taos County Kansas
KY,236,5928,6164,Torrance County Kentucky
KS,238,5817,6055,Union County Kansas
KY,186,10816,11002,Valencia County Kentucky
KS,111,354,465,Albany County Kansas
KS,19,66,85,Allegany County Kansas
KS,458,1263,1721,Bronx County Kansas
KS,184,770,954,Broome County Kansas
KS,1341,4803,6144,Cattaraugus County Kansas
KS,51,341,392,Cayuga County Kansas
KS,45,163,208,Chautauqua County Kansas
KS,81,280,361,Chemung County Kansas
KS,148,424,572,Chenango County Kansas
KS,264,828,1092,Clinton County Kansas
KS,106,219,325,Columbia County Kansas
KS,2200,4060,6260,Cortland County Kansas
KS,50,89,139,Delaware County Kansas
KS,2673,7731,10404,Dutchess County Kansas
KS,118,261,379,Erie County Kansas
KY,164,5855,6019,Essex County Kentucky
NC,2043,8608,10651,Franklin County North Carolina
TN,924,6078,7002,Fulton County Tennessee
KS,161,5679,5840,Genesee County Kansas
KY,207,11273,11480,Greene County Kentucky
NC,2086,14026,16112,Hamilton County North Carolina
TN,967,11496,12463,Herkimer County Tennessee
KS,746,9575,10321,Jefferson County Kansas
KY,792,15169,15961,Kings County Kentucky
NC,2671,17922,20593,Lewis County North Carolina
TN,1552,15392,16944,Livingston County Tennessee
KS,1003,5618,6621,Madison County Kansas
KY,1049,11212,12261,Monroe County Kentucky
NC,2928,13965,16893,Montgomery County North Carolina
TN,1809,11435,13244,Nassau County Tennessee
KS,632,1497,2129,New York County Kansas
KS,1876,6780,8656,Niagara County Kansas
KY,916,4029,4945,Oneida County Kentucky
KS,980,4364,5344,Onondaga County Kansas
KY,20,1613,1633,Ontario County Kentucky
KS,772,2799,3571,Orange County Kansas
KS,120,404,524,Orleans County Kansas
KY,86,3559,3645,Oswego County Kentucky
KS,79,3529,3608,Otsego County Kansas
KY,45,6684,6729,Putnam County Kentucky
KS,1261,3665,4926,Queens County Kansas
KS,191,580,771,Rensselaer County Kansas
NJ,3945,7684,11629,Richmond County New Jersey
KS,3852,6007,9859,Rockland County Kansas
NJ,7606,13111,20717,St. Lawrence County New Jersey
KS,88,388,476,Saratoga County Kansas
KS,196,557,753,Schenectady County Kansas
KS,1474,3006,4480,Schoharie County Kansas
KS,81,283,364,Schuyler County Kansas
KS,181,464,645,Seneca County Kansas
KS,879,2377,3256,Steuben County Kansas
KS,152,425,577,Suffolk County Kansas
KS,176,472,648,Sullivan County Kansas
KS,206,728,934,Tioga County Kansas
KS,179,521,700,Tompkins County Kansas
KS,553,1758,2311,Ulster County Kansas
KS,336,1266,1602,Warren County Kansas
KS,49,154,203,Washington County Kansas
KS,4238,10599,14837,Wayne County Kansas
KS,169,402,571,Westchester County Kansas
KS,501,1134,1635,Wyoming County Kansas
KS,1580,3982,5562,Yates County Kansas
KS,207,567,774,Alamance County Kansas
KS,201,380,581,Alexander County Kansas
KS,435,806,1241,Alleghany County Kansas
KY,303,4839,5142,Anson County Kentucky
KS,318,4843,5161,Ashe County Kansas
KY,186,8876,9062,Avery County Kentucky
KS,36458,99337,135795,Beaufort County Kansas
KS,1389,3916,5305,Bertie County Kansas
KS,15537,30236,45773,Bladen County Kansas
KS,46,78,124,Brunswick County Kansas
KS,426,843,1269,Buncombe County Kansas
KS,109,373,482,Burke County Kansas
TN,409,3753,4162,Cabarrus County Tennessee
KS,391,3710,4101,Caldwell County Kansas
TN,691,7090,7781,Camden County Tennessee
KS,117,577,694,Carteret County Kansas
KS,44,249,293,Caswell County Kansas
KS,107,551,658,Catawba County Kansas
KS,1094,3533,4627,Chatham County Kansas
TN,3183,21069,24252,Cherokee County Tennessee
KS,3137,20452,23589,Chowan County Kansas
TN,5226,37988,43214,Clay County Tennessee
KS,217,701,918,Cleveland County Kansas
KS,92,177,269,Columbus County Kansas
KS,136,562,698,Craven County Kansas
KS,39,89,128,Cumberland County Kansas
