States,Jan & July Public Assist. Participation,Jan & July Non-Public Assist. Participation,Jan & July TOTAL Assist. Participation,Counties
IN,12594,35639,48233,St. Charles County
IN,870,2908,3778,St. Clair County
IN,9125,23002,32127,Ste. Genevieve County
IN,1266,5707,6973,St. Francois County
IN,269,1049,1318,St. Louis County
MS,651,10493,11144,Saline County
VA,631,4530,5161,Schuyler County
IN,657,10198,10855,Scotland County
MS,1039,19642,20681,Scott County
VA,1019,13679,14698,Shannon County
IN,641,4356,4997,Shelby County
MS,1023,13800,14823,Stoddard County
VA,1003,7837,8840,Stone County
IN,1199,6349,7548,Sullivan County
IN,1593,6568,8161,Taney County
MN,3558,8949,12507,Texas County
MN,829,3218,4047,Vernon County
MS,3294,21408,24702,Warren County
IN,3343,8611,11954,Washington County
MN,5308,10992,16300,Wayne County
MN,2579,5261,7840,Webster County
MS,5044,23451,28495,Worth County
IN,3355,21030,24385,Wright County
MN,5320,23411,28731,St. Louis city
MN,2591,17680,20271,Beaverhead County
MS,5056,35870,40926,Big Horn County
IN,6149,15015,21164,Blaine County
MS,3301,11895,15196,Broadwater County
IN,3299,12385,15684,Carbon County
MS,451,9265,9716,Carter County
IN,796,3624,4420,Cascade County
IN,761,4524,5285,Chouteau County
IN,806,4462,5268,Custer County
IA,180,1157,1337,Daniels County
IA,142,718,860,Dawson County
OH,1356,5847,7203,Deer Lodge County
IA,1343,5833,7176,Fallon County
OH,2557,10962,13519,Fergus County
IA,500,2434,2934,Flathead County
IA,1059,3401,4460,Gallatin County
IA,120,735,855,Garfield County
IA,733,3606,4339,Glacier County
IA,8960,25062,34022,Golden Valley County
IA,980,4104,5084,Granite County
IA,383,1938,2321,Hill County
IA,606,2699,3305,Jefferson County
IA,973,3582,4555,Judith Basin County
IA,391,2102,2493,Lake County
OH,6384,38585,44969,Lewis and Clark County
IA,6184,35881,42065,Liberty County
OH,12177,72364,84541,Lincoln County
IA,229,1467,1696,McCone County
IA,579,2385,2964,Madison County
OH,770,4681,5451,Meagher County
IA,719,4549,5268,Mineral County
OH,910,6845,7755,Missoula County
IA,576,2857,3433,Musselshell County
IA,426,2139,2565,Park County
IA,1810,9629,11439,Petroleum County
IA,278,1511,1789,Phillips County
IA,246,1396,1642,Pondera County
IA,398,2395,2793,Powder River County
IA,799,2685,3484,Powell County
IA,466,1980,2446,Prairie County
IA,3587,11816,15403,Ravalli County
OH,2755,10875,13630,Richland County
IA,2664,11032,13696,Roosevelt County
OH,1832,10091,11923,Rosebud County
IA,661,2950,3611,Sanders County
OH,1638,7677,9315,Sheridan County
IA,1631,7534,9165,Silver Bow County
OH,2608,12261,14869,Stillwater County
IA,1228,6285,7513,Sweet Grass County
IA,384,1060,1444,Teton County
IA,532,2442,2974,Toole County
IA,730,2294,3024,Treasure County
IA,2902,11910,14812,Valley County
IA,439,1677,2116,Wheatland County
IA,4613,14479,19092,Wibaux County
IA,364,1623,1987,Yellowstone County
IA,1081,3908,4989,Adams County
OH,1475,5990,7465,Antelope County
IA,1359,5649,7008,Arthur County
OH,1753,7731,9484,Banner County
IA,587,3019,3606,Blaine County
IA,249,1710,1959,Boone County
IA,337,1412,1749,Box Butte County
IA,382,1700,2082,Boyd County
OH,2430,10937,13367,Brown County
IA,2396,10705,13101,Buffalo County
OH,4444,19942,24386,Burt County
IA,162,867,1029,Butler County
IA,267,1426,1693,Cass County
IA,514,2562,3076,Cedar County
IA,186,1574,1760,Chase County
OH,1122,6917,8039,Cherry County
IA,1039,6775,7814,Cheyenne County
OH,1975,12118,14093,Clay County
IA,586,2976,3562,Colfax County
OH,738,4411,5149,Cuming County
IA,793,4325,5118,Custer County
OH,945,5760,6705,Dakota County
IA,583,2430,3013,Dawes County
OH,932,3340,4272,Dawson County
IA,849,3300,4149,Deuel County
OH,1198,4210,5408,Dixon County
IA,1045,4424,5469,Dodge County
OH,784,4496,5280,Douglas County
IA,798,4635,5433,Dundy County
OH,537,4707,5244,Fillmore County
IA,321,1424,1745,Franklin County
IA,619,1150,1769,Frontier County
IA,117,1082,1199,Furnas County
IA,342,1743,2085,Gage County
IA,980,3354,4334,Garden County
OH,2123,7247,9370,Garfield County
IA,2128,7079,9207,Gosper County
OH,3271,10972,14243,Grant County
IA,1751,6552,8303,Greeley County
IA,914,3592,4506,Hall County
OH,3344,10540,13884,Hamilton County
IA,3258,10344,13602,Harlan County
OH,5688,17292,22980,Hayes County
IA,4230,14653,18883,Hitchcock County
IA,581,2786,3367,Holt County
IA,473,2041,2514,Hooker County
IA,462,1774,2236,Howard County
IA,2595,8816,11411,Jefferson County
IA,8438,37268,45706,Johnson County
IA,358,2148,2506,Kearney County
IA,467,2359,2826,Keith County
OH,22782,63249,86031,Keya Paha County
IA,22580,61029,83609,Kimball County
OH,44895,121919,166814,Knox County
IA,164,1086,1250,Lancaster County
IA,286,2138,2424,Lincoln County
OH,957,5045,6002,Logan County
IA,895,4935,5830,Loup County
OH,1566,7842,9408,McPherson County
IA,1758,4777,6535,Madison County
IA,1059,4461,5520,Merrick County
IA,1797,10306,12103,Morrill County
IA,358,2379,2737,Nance County
IA,116,947,1063,Nemaha County
IA,266,1659,1925,Nuckolls County
IA,409,1448,1857,Otoe County
OH,718,2366,3084,Pawnee County
WI,617,5348,5965,Perkins County
IA,656,2437,3093,Phelps County
OH,965,3355,4320,Pierce County
WI,864,6337,7201,Platte County
IA,526,5668,6194,Polk County
OH,835,6586,7421,Red Willow County
WI,734,9568,10302,Richardson County
IA,618,2907,3525,Rock County
OH,18072,65752,83824,Saline County
IA,17907,62220,80127,Sarpy County
OH,35361,125065,160426,Saunders County
IA,2353,10304,12657,Scotts Bluff County
IA,419,1835,2254,Seward County
IA,122,519,641,Sheridan County
IA,711,3523,4234,Sherman County
IA,290,1082,1372,Sioux County
IA,357,2278,2635,Stanton County
IA,335,1309,1644,Thayer County
IA,22485,87881,110366,Thomas County
IA,6025,21770,27795,Thurston County
IA,918,2291,3209,Valley County
IA,225,843,1068,Washington County
IA,251,1128,1379,Wayne County
IA,12060,41182,53242,Webster County
IA,329,1727,2056,Wheeler County
OH,827,5205,6032,York County
IA,765,5166,5931,Churchill County
OH,1263,8644,9907,Clark County
IA,463,1941,2404,Douglas County
IA,2240,9590,11830,Elko County
IA,540,2700,3240,Esmeralda County
IA,209,1036,1245,Eureka County
IA,679,3054,3733,Humboldt County
OH,939,4685,5624,Lander County
IA,934,4457,5391,Lincoln County
OH,1194,6088,7282,Lyon County
IA,319,1356,1675,Mineral County
IA,3037,10779,13816,Nye County
IA,943,5669,6612,Pershing County
IA,881,3284,4165,Storey County
OH,1965,7413,9378,Washoe County
IA,1997,7475,9472,White Pine County
OH,3081,11604,14685,Carson City
IA,326,1228,1554,Belknap County
OH,2475,10545,13020,Carroll County
IA,2366,9922,12288,Cheshire County
OH,4515,19239,23754,Coos County
IA,2107,8675,10782,Grafton County
IA,272,1728,2000,Hillsborough County
IA,506,1933,2439,Merrimack County
IA,4750,26734,31484,Rockingham County
IA,185,934,1119,Strafford County
IA,514,2328,2842,Sullivan County
KS,1431,2330,3761,Atlantic County
KY,716,4866,5582,Bergen County
KS,761,4710,5471,Burlington County
KY,46,7246,7292,Camden County
KS,551,1197,1748,Cape May County
KY,283,3518,3801,Cumberland County
SC,2308,31293,33601,Essex County
TN,1970,13707,15677,Gloucester County
KS,307,3269,3576,Hudson County
KY,39,5590,5629,Hunterdon County
SC,2064,33365,35429,Mercer County
TN,1726,15779,17505,Middlesex County
KS,2379,30154,32533,Monmouth County
KY,2111,32475,34586,Morris County
SC,4136,60250,64386,Ocean County
TN,3798,42664,46462,Passaic County
KS,1911,13123,15034,Salem County
KY,1643,15444,17087,Somerset County
SC,3668,43219,46887,Sussex County
TN,3330,25633,28963,Union County
KS,1498,3323,4821,Warren County
KS,182,417,599,Bernalillo County
KS,1520,4602,6122,Catron County
KS,1802,3289,5091,Chaves County
KY,1007,5008,6015,Cibola County
KS,1053,4888,5941,Colfax County
KY,258,6607,6865,Curry County
KS,2236,7707,9943,De Baca County
KY,1138,6357,7495,Dona Ana County
KS,1243,6811,8054,Eddy County
KY,145,5461,5606,Grant County
KS,89,324,413,Guadalupe County
KS,251,552,803,Harding County
KS,65,175,240,Hidalgo County
KS,523,1096,1619,Lea County
KS,423,1101,1524,Lincoln County
KS,25,138,163,Los Alamos County
KS,2515,6995,9510,Luna County
KS,98,236,334,McKinley County
TN,355,2481,2836,Mora County
KS,384,2535,2919,Otero County
TN,641,4780,5421,Quay County
KS,657,1818,2475,Rio Arriba County
KS,279,978,1257,Roosevelt County
KS,127,502,629,Sandoval County
KS,951,2633,3584,San Juan County
KS,131,462,593,San Miguel County
KS,2110,6700,8810,Santa Fe County
KS,1606,4253,5859,Sierra County
KS,33,143,176,Socorro County
KS,288,929,1217,Taos County
KY,236,5928,6164,Torrance County
KS,238,5817,6055,Union County
KY,186,10816,11002,Valencia County
KS,111,354,465,Albany County
KS,19,66,85,Allegany County
KS,458,1263,1721,Bronx County
KS,184,770,954,Broome County
KS,1341,4803,6144,Cattaraugus County
KS,51,341,392,Cayuga County
KS,45,163,208,Chautauqua County
KS,81,280,361,Chemung County
KS,148,424,572,Chenango County
KS,264,828,1092,Clinton County
KS,106,219,325,Columbia County
KS,2200,4060,6260,Cortland County
KS,50,89,139,Delaware County
KS,2673,7731,10404,Dutchess County
KS,118,261,379,Erie County
KY,164,5855,6019,Essex County
NC,2043,8608,10651,Franklin County
TN,924,6078,7002,Fulton County
KS,161,5679,5840,Genesee County
KY,207,11273,11480,Greene County
NC,2086,14026,16112,Hamilton County
TN,967,11496,12463,Herkimer County
KS,746,9575,10321,Jefferson County
KY,792,15169,15961,Kings County
NC,2671,17922,20593,Lewis County
TN,1552,15392,16944,Livingston County
KS,1003,5618,6621,Madison County
KY,1049,11212,12261,Monroe County
NC,2928,13965,16893,Montgomery County
TN,1809,11435,13244,Nassau County
KS,632,1497,2129,New York County
KS,1876,6780,8656,Niagara County
KY,916,4029,4945,Oneida County
KS,980,4364,5344,Onondaga County
KY,20,1613,1633,Ontario County
KS,772,2799,3571,Orange County
KS,120,404,524,Orleans County
KY,86,3559,3645,Oswego County
KS,79,3529,3608,Otsego County
KY,45,6684,6729,Putnam County
KS,1261,3665,4926,Queens County
KS,191,580,771,Rensselaer County
NJ,3945,7684,11629,Richmond County
KS,3852,6007,9859,Rockland County
NJ,7606,13111,20717,St. Lawrence County
KS,88,388,476,Saratoga County
KS,196,557,753,Schenectady County
KS,1474,3006,4480,Schoharie County
KS,81,283,364,Schuyler County
KS,181,464,645,Seneca County
KS,879,2377,3256,Steuben County
KS,152,425,577,Suffolk County
KS,176,472,648,Sullivan County
KS,206,728,934,Tioga County
KS,179,521,700,Tompkins County
KS,553,1758,2311,Ulster County
KS,336,1266,1602,Warren County
KS,49,154,203,Washington County
KS,4238,10599,14837,Wayne County
KS,169,402,571,Westchester County
KS,501,1134,1635,Wyoming County
KS,1580,3982,5562,Yates County
KS,207,567,774,Alamance County
KS,201,380,581,Alexander County
KS,435,806,1241,Alleghany County
KY,303,4839,5142,Anson County
KS,318,4843,5161,Ashe County
KY,186,8876,9062,Avery County
KS,36458,99337,135795,Beaufort County
KS,1389,3916,5305,Bertie County
KS,15537,30236,45773,Bladen County
KS,46,78,124,Brunswick County
KS,426,843,1269,Buncombe County
KS,109,373,482,Burke County
TN,409,3753,4162,Cabarrus County
KS,391,3710,4101,Caldwell County
TN,691,7090,7781,Camden County
KS,117,577,694,Carteret County
KS,44,249,293,Caswell County
KS,107,551,658,Catawba County
KS,1094,3533,4627,Chatham County
TN,3183,21069,24252,Cherokee County
KS,3137,20452,23589,Chowan County
TN,5226,37988,43214,Clay County
KS,217,701,918,Cleveland County
KS,92,177,269,Columbus County
KS,136,562,698,Craven County
KS,39,89,128,Cumberland County
KS,43,198,241,Currituck County
KS,735,1642,2377,Dare County
NC,3656,12680,16336,Davidson County
KS,1920,13183,15103,Davie County
NC,4841,24221,29062,Duplin County
KS,294,587,881,Durham County
KS,19694,38834,58528,Edgecombe County
KY,110,6739,6849,Forsyth County
KY,60,2394,2454,Franklin County
KY,448,15404,15852,Gaston County
KY,100,6820,6920,Gates County
KY,303,20339,20642,Graham County
KY,745,18760,19505,Granville County
KY,177,8775,8952,Greene County
KY,175,3389,3564,Guilford County
KY,367,10781,11148,Halifax County
KY,102,7868,7970,Harnett County
KY,328,16676,17004,Haywood County
KY,71,4514,4585,Henderson County
NC,2094,15257,17351,Hertford County
KY,655,16151,16806,Hoke County
NC,2678,26894,29572,Hyde County
KY,150,7660,7810,Iredell County
KY,646,19846,20492,Jackson County
TN,1982,20853,22835,Johnston County
KY,2027,20984,23011,Jones County
TN,3363,21991,25354,Lee County
KY,18,1636,1654,Lenoir County
KY,263,14510,14773,Lincoln County
TN,1393,17819,19212,McDowell County
KY,1434,17477,18911,Macon County
TN,2564,20786,23350,Madison County
KY,32,7761,7793,Martin County
KY,34,2565,2599,Mecklenburg County
KY,1188,28525,29713,Mitchell County
KY,94,4614,4708,Montgomery County
KY,129,4321,4450,Moore County
KY,167,9743,9910,Nash County
KY,83,5957,6040,New Hanover County
KY,86,6145,6231,Northampton County
KY,89,12284,12373,Onslow County
KY,79,11647,11726,Orange County
KY,121,4373,4494,Pamlico County
KY,76,12313,12389,Pasquotank County
KY,432,19060,19492,Pender County
KY,124,7131,7255,Perquimans County
KY,45,1648,1693,Person County
TN,712,6351,7063,Pitt County
KY,724,6256,6980,Polk County
TN,1391,10959,12350,Randolph County
KY,586,16948,17534,Richmond County
KY,487,13749,14236,Robeson County
KY,1987,41114,43101,Rockingham County
KY,132,10221,10353,Rowan County
KY,146,5133,5279,Rutherford County
KY,302,28415,28717,Sampson County
KY,312,7351,7663,Scotland County
KY,433,14303,14736,Stanly County
KY,195,8197,8392,Stokes County
TN,503,6841,7344,Surry County
KY,460,7002,7462,Swain County
TN,768,5646,6414,Transylvania County
KY,747,19943,20690,Tyrrell County
KY,212,12992,13204,Union County
KY,210,10091,10301,Vance County
KY,98,8628,8726,Wake County
NC,1056,8383,9439,Warren County
KY,804,8415,9219,Washington County
NC,1762,8170,9932,Watauga County
KY,128,3746,3874,Wayne County
KY,125,4798,4923,Wilkes County
KY,264,11579,11843,Wilson County
KY,319,12952,13271,Yadkin County
KY,73,3263,3336,Yancey County
KY,212,9113,9325,Adams County
KY,109,5061,5170,Barnes County
KY,33,4269,4302,Benson County
KY,274,4521,4795,Billings County
KY,72,5215,5287,Bottineau County
KY,69,8308,8377,Bowman County
KY,10,1028,1038,Burke County
TN,1047,10877,11924,Burleigh County
KY,1050,10355,11405,Cass County
TN,2087,20204,22291,Cavalier County
KY,56,9184,9240,Dickey County
KY,248,9502,9750,Divide County
NC,4351,22067,26418,Dunn County
KY,1731,23610,25341,Eddy County
NC,5834,36175,42009,Emmons County
KY,59,6091,6150,Foster County
KY,51,3386,3437,Golden Valley County
KY,288,9185,9473,Grand Forks County
KY,109,4643,4752,Grant County
KY,33,3784,3817,Griggs County
KY,47,3074,3121,Hettinger County
KY,57,23341,23398,Kidder County
KY,177,5884,6061,LaMoure County
LA,2467,23892,26359,Logan County
LA,823,8818,9641,McHenry County
LA,1358,22844,24202,McIntosh County
LA,890,8913,9803,McKenzie County
LA,2902,19884,22786,McLean County
LA,829,9264,10093,Mercer County
LA,742,6407,7149,Morton County
LA,2027,26972,28999,Mountrail County
LA,9250,97847,107097,Nelson County
LA,4722,60383,65105,Oliver County
LA,597,4157,4754,Pembina County
LA,50,702,752,Pierce County
LA,558,4494,5052,Ramsey County
LA,901,6613,7514,Ransom County
LA,1209,9884,11093,Renville County
LA,1105,9762,10867,Richland County
LA,10903,138191,149094,Rolette County
LA,833,5939,6772,Sargent County
LA,838,6526,7364,Sheridan County
LA,2551,15320,17871,Sioux County
LA,1102,10788,11890,Slope County
LA,761,8380,9141,Stark County
LA,2793,32349,35142,Steele County
LA,1231,15269,16500,Stutsman County
LA,574,5182,5756,Towner County
LA,9722,100133,109855,Traill County
LA,916,9787,10703,Walsh County
LA,4759,52972,57731,Ward County
LA,2336,27461,29797,Wells County
LA,391,4076,4467,Williams County
LA,1457,15011,16468,Adams County
LA,1835,33594,35429,Allen County
LA,896,7431,8327,Ashland County
LA,2046,16535,18581,Ashtabula County
LA,2289,18603,20892,Athens County
LA,17635,149890,167525,Auglaize County
LA,6015,63609,69624,Belmont County
LA,428,5984,6412,Brown County
LA,1008,7645,8653,Butler County
LA,5393,47410,52803,Carroll County
LA,420,4052,4472,Champaign County
LA,929,10182,11111,Clark County
LA,955,9186,10141,Clermont County
LA,837,14098,14935,Clinton County
LA,711,13725,14436,Columbiana County
LA,685,6299,6984,Coshocton County
LA,599,7677,8276,Crawford County
LA,1174,18390,19564,Cuyahoga County
LA,5486,41107,46593,Darke County
LA,1715,19062,20777,Defiance County
LA,2125,23191,25316,Delaware County
LA,2944,40593,43537,Erie County
LA,4616,53416,58032,Fairfield County
LA,423,3446,3869,Fayette County
LA,2719,36456,39175,Franklin County
LA,742,7954,8696,Fulton County
LA,1498,17890,19388,Gallia County
LA,1002,12030,13032,Geauga County
LA,2960,22467,25427,Greene County
LA,1623,16682,18305,Guernsey County
LA,547,7434,7981,Hamilton County
LA,519,5018,5537,Hancock County
LA,307,2413,2720,Hardin County
LA,685,6388,7073,Harrison County
ME,338232,123526,461758,Henry County
MD,3645,20378,24023,Highland County
MD,9490,46976,56466,Hocking County
MD,20558,114073,134631,Holmes County
MD,1557,13217,14774,Huron County
MD,1490,8601,10091,Jackson County
MD,2282,14708,16990,Jefferson County
MD,3808,20124,23932,Knox County
MD,2589,20909,23498,Lake County
MD,2394,12380,14774,Lawrence County
MD,3572,23227,26799,Licking County
MD,1031,6792,7823,Logan County
MD,5251,28920,34171,Lorain County
MD,3906,19192,23098,Lucas County
MD,634,4230,4864,Madison County
MD,16173,73564,89737,Mahoning County
MD,22143,137738,159881,Marion County
MD,800,6010,6810,Medina County
MD,4078,16886,20964,Meigs County
MD,1410,7936,9346,Mercer County
MD,735,5329,6064,Miami County
MD,4958,30591,35549,Monroe County
MD,4577,26366,30943,Montgomery County
MD,833,10329,11162,Morgan County
MD,97048,246701,343749,Morrow County
MA,471572,1037375,1508947,Muskingum County
MI,487,2928,3415,Noble County
MI,347,2078,2425,Ottawa County
MI,4204,27775,31979,Paulding County
MI,2683,9358,12041,Perry County
MI,786,6529,7315,Pickaway County
MI,1243,5748,6991,Pike County
MI,462,2119,2581,Portage County
MI,2088,14750,16838,Preble County
MI,7747,31798,39545,Putnam County
MI,561,4483,5044,Richland County
MI,14266,46560,60826,Ross County
MI,3108,13464,16572,Sandusky County
MI,15324,49246,64570,Scioto County
MI,3094,16471,19565,Seneca County
MN,2689,10891,13580,Shelby County
MN,1547,8023,9570,Stark County
MI,2706,11088,13794,Summit County
MN,2301,5508,7809,Trumbull County
MN,1159,2640,3799,Tuscarawas County
MI,750,6535,7285,Union County
MI,1300,8785,10085,Van Wert County
MI,2003,9678,11681,Vinton County
WI,1477,11770,13247,Warren County
MI,1517,12452,13969,Washington County
WI,991,14544,15535,Wayne County
MI,3443,12825,16268,Williams County
MI,1375,11916,13291,Wood County
MI,704,4912,5616,Wyandot County
MI,861,6119,6980,Adair County
MI,3001,23202,26203,Alfalfa County
MI,914,8393,9307,Atoka County
MI,61538,153470,215008,Beaver County
MI,1896,8539,10435,Beckham County
MI,1681,4430,6111,Blaine County
MI,2509,21467,23976,Bryan County
MI,2234,12350,14584,Caddo County
MI,3142,13579,16721,Canadian County
MI,1473,8833,10306,Carter County
MI,1542,8219,9761,Cherokee County
MI,19206,87994,107200,Choctaw County
MI,326,1286,1612,Cimarron County
MI,2981,17365,20346,Cleveland County
MI,1987,9964,11951,Coal County
MI,789,3077,3866,Comanche County
WI,482,2311,2793,Cotton County
MI,444,2346,2790,Craig County
WI,137,1580,1717,Creek County
MI,2795,25268,28063,Custer County
MI,12060,46940,59000,Delaware County
WI,6088,25013,31101,Dewey County
MI,6345,26291,32636,Ellis County
WI,373,4364,4737,Garfield County
MI,20319,70802,91121,Garvin County
MI,842,6897,7739,Grady County
MI,45306,158234,203540,Grant County
MI,67,480,547,Greer County
MI,3237,21605,24842,Harmon County
MI,276,3056,3332,Harper County
MI,4946,27219,32165,Haskell County
MI,2430,24486,26916,Hughes County
MI,552,1641,2193,Jackson County
MI,392,2402,2794,Jefferson County
MI,41663,193347,235010,Johnston County
MI,1741,6917,8658,Kay County
MI,2508,16263,18771,Kingfisher County
WI,1326,9624,10950,Kiowa County
MI,1388,10116,11504,Latimer County
WI,206,3477,3683,Le Flore County
MI,1748,9455,11203,Lincoln County
MI,2418,16995,19413,Logan County
MI,930,6536,7466,Love County
WI,528,4937,5465,McClain County
MI,512,5214,5726,McCurtain County
WI,110,3615,3725,McIntosh County
MI,3532,18539,22071,Major County
MI,666,4694,5360,Marshall County
MI,7448,31806,39254,Mayes County
MI,3290,22292,25582,Murray County
MI,661,3489,4150,Muskogee County
MI,26744,63725,90469,Noble County
MI,3379,17855,21234,Nowata County
MI,47253,189722,236975,Okfuskee County
MI,2504,10142,12646,Oklahoma County
MI,2183,8560,10743,Okmulgee County
MI,386,1686,2072,Osage County
MI,1592,8445,10037,Ottawa County
MI,621,3379,4000,Pawnee County
MI,1252,8411,9663,Payne County
MI,5614,49543,55157,Pittsburg County
MI,530,3055,3585,Pontotoc County
MI,2127,9741,11868,Pottawatomie County
MI,24915,67209,92124,Pushmataha County
MI,9963,49679,59642,Roger Mills County
MI,3714,21061,24775,Rogers County
MI,2293,15156,17449,Seminole County
MI,546,2182,2728,Sequoyah County
MI,4252,20996,25248,Stephens County
MI,2927,16954,19881,Texas County
MI,5024,27196,32220,Tillman County
MI,12665,62086,74751,Tulsa County
MI,282602,718159,1000761,Wagoner County
MI,2455,13188,15643,Washington County
MN,0,0,0,Washita County
MN,916,2590,3506,Woods County
MN,488,1249,1737,Woodward County
MN,14509,27752,42261,Baker County
MN,7265,13047,20312,Benton County
MN,2345,5435,7780,Clackamas County
MN,1167,2736,3903,Clatsop County
MN,9105,8157,17262,Columbia County
MN,4479,3958,8437,Coos County
MN,1662,3839,5501,Crook County
MN,792,1765,2557,Curry County
MN,203,410,613,Deschutes County
MN,2764,5718,8482,Douglas County
MN,1369,2761,4130,Gilliam County
MN,864,2138,3002,Grant County
MN,390,1002,1392,Harney County
MN,1416,3822,5238,Hood River County
MN,700,1839,2539,Jackson County
MN,1214,3849,5063,Jefferson County
MN,581,1804,2385,Josephine County
MN,494,1215,1709,Klamath County
MN,235,578,813,Lake County
MN,1011,4008,5019,Lane County
MN,529,1929,2458,Lincoln County
MN,585,1648,2233,Linn County
MN,182,356,538,Malheur County
MN,102,165,267,Marion County
MN,533,1115,1648,Morrow County
MN,2863,7975,10838,Multnomah County
MN,12067,24057,36124,Polk County
MN,5987,11426,17413,Sherman County
MN,602,1855,2457,Tillamook County
MN,1242,3756,4998,Umatilla County
MN,582,1817,2399,Union County
MN,532,1927,2459,Wallowa County
MN,272,869,1141,Wasco County
MN,569,2256,2825,Washington County
MN,283,1088,1371,Wheeler County
MN,1661,3369,5030,Yamhill County
MN,813,1615,2428,Adams County
MN,1383,3496,4879,Allegheny County
MN,215,722,937,Armstrong County
MN,72574,114837,187411,Beaver County
MN,50438,55360,105798,Bedford County
MN,50311,62223,112534,Berks County
MN,28175,2746,30921,Blair County
MN,672,1484,2156,Bradford County
MN,996,3044,4040,Bucks County
MN,1144,4336,5480,Butler County
MN,570,2131,2701,Cambria County
MN,2902,6652,9554,Cameron County
MN,1460,3122,4582,Carbon County
MN,893,2590,3483,Centre County
MN,460,1218,1678,Chester County
MN,2360,6494,8854,Clarion County
MN,90,262,352,Clearfield County
MN,732,1874,2606,Clinton County
MN,183,620,803,Columbia County
MN,93,303,396,Crawford County
MN,286,1063,1349,Cumberland County
MN,159,495,654,Dauphin County
MN,129,494,623,Delaware County
MN,741,2019,2760,Elk County
MN,358,980,1338,Erie County
MN,75,355,430,Fayette County
MS,327,6597,6924,Forest County
MN,326,6466,6792,Franklin County
MS,578,12708,13286,Fulton County
MN,1187,2450,3637,Greene County
MN,1147,3267,4414,Huntingdon County
MN,535,1550,2085,Indiana County
MN,1166,1623,2789,Jefferson County
MN,803,2648,3451,Juniata County
MN,744,2273,3017,Lackawanna County
MN,1060,3261,4321,Lancaster County
MN,515,1628,2143,Lawrence County
MN,1164,3483,4647,Lebanon County
MN,2297,5154,7451,Lehigh County
MN,1147,2462,3609,Luzerne County
MN,194,715,909,Lycoming County
MN,1451,2849,4300,McKean County
MN,706,1354,2060,Mercer County
MN,1302,2280,3582,Mifflin County
MN,436,919,1355,Monroe County
MN,7061,14487,21548,Montgomery County
MN,3475,6902,10377,Montour County
MN,2130,5833,7963,Northampton County
MN,1075,2810,3885,Northumberland County
MN,635,1869,2504,Perry County
MN,1738,4960,6698,Philadelphia County/city
MN,906,2383,3289,Pike County
MN,487,1021,1508,Potter County
MN,2040,4376,6416,Schuylkill County
MN,289,1091,1380,Snyder County
MN,66691,66029,132720,Somerset County
MN,33247,30330,63577,Sullivan County
MN,168,670,838,Susquehanna County
MN,591,1589,2180,Tioga County
MN,292,792,1084,Union County
MN,609,2077,2686,Venango County
MN,290,924,1214,Warren County
MN,2531,5349,7880,Washington County
MN,1213,2636,3849,Wayne County
MN,326,747,1073,Westmoreland County
MN,349,1194,1543,Wyoming County
MN,14762,25381,40143,York County
MN,7357,12347,19704,Bristol County
MN,2913,6840,9753,Kent County
MN,1404,3214,4618,Newport County
MN,1861,6360,8221,Providence County
MN,935,2996,3931,Washington County
MN,404,1347,1751,Abbeville County
MN,203,640,843,Aiken County
MN,6698,14791,21489,Allendale County
MN,3272,6972,10244,Anderson County
MN,1549,4660,6209,Bamberg County
MN,739,2214,2953,Barnwell County
MN,226,748,974,Beaufort County
MN,382,1031,1413,Berkeley County
MN,1048,3064,4112,Calhoun County
MN,544,1540,2084,Charleston County
MN,145,464,609,Cherokee County
MN,461,1617,2078,Chester County
MN,222,775,997,Chesterfield County
MN,1082,2346,3428,Clarendon County
MN,553,1130,1683,Colleton County
MN,613,2539,3152,Darlington County
MN,289,1234,1523,Dillon County
MN,348,1091,1439,Dorchester County
MN,275,829,1104,Edgefield County
MN,1654,4490,6144,Fairfield County
MN,2143,8386,10529,Florence County
MN,1053,4008,5061,Georgetown County
MN,336,754,1090,Greenville County
MN,816,5,821,Greenwood County
MN,394,2,396,Hampton County
MS,428,13434,13862,Horry County
MS,621,12301,12922,Jasper County
MS,179,4813,4992,Kershaw County
MS,438,7864,8302,Lancaster County
MS,128,4467,4595,Laurens County
MS,2219,21837,24056,Lee County
MS,266,5466,5732,Lexington County
MS,698,7318,8016,McCormick County
MS,180,3829,4009,Marion County
MS,260,6750,7010,Marlboro County
MS,148,6924,7072,Newberry County
MS,2164,18379,20543,Oconee County
MS,535,13637,14172,Orangeburg County
MS,248,7691,7939,Pickens County
MS,1394,28863,30257,Richland County
MS,985,26635,27620,Saluda County
MS,145,8094,8239,Spartanburg County
MS,393,8462,8855,Sumter County
MS,9685,110202,119887,Union County
MS,1679,14012,15691,Williamsburg County
MS,1797,7224,9021,York County
MS,75,661,736,Aurora County
MS,223,6608,6831,Beadle County
MS,243,5934,6177,Bennett County
MS,1354,21823,23177,Bon Homme County
MS,128,3987,4115,Brookings County
MS,150,8393,8543,Brown County
MS,244,13361,13605,Brule County
MS,1630,31872,33502,Buffalo County
MS,196,7861,8057,Butte County
MS,834,29980,30814,Campbell County
MS,872,21291,22163,Charles Mix County
MS,1954,23562,25516,Clark County
MS,696,13011,13707,Clay County
MS,153,4083,4236,Codington County
MS,391,12546,12937,Corson County
MS,748,8248,8996,Custer County
MS,742,13342,14084,Davison County
